0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.16666666666666663,0.0,2.220446049250313e-16,0.4050720000000001,0.0,0.0,0.0,0.0,0.0,-0.41500000000000004,0.0,0.0,0.0,-1.0,7
-0.16660970618824167,0.14347956726047606,-0.0036951191225121915,0.40152248280438063,0.0006393244994167269,0.047485164660897805,-0.12424192534818435,1.0,-0.05930208264233083,-0.41482911856472493,0.003015302953787824,0.0,-0.5,0.6000000000000001,0
-0.16555033536007002,0.24773912916340501,-0.01740805202565776,0.39738991635828236,0.0024329338525743704,0.047081487212441875,-0.2340902541091372,-0.159760324289973,-0.07602974984608812,-0.4116510060802102,0.014546202486386939,0.0,0.0,0.6000000000000001,5
-0.16342206201702358,0.2267871511591757,0.003551122740102164,0.39712158833000366,0.005347798005086446,0.017643190377861995,0.8402016981668652,-0.026004665420626405,-0.07827551595498694,-0.4052661860510707,0.02326910114370806,0.5,0.0,0.6000000000000001,6
-0.16084544768929476,0.3471765310042647,0.06797245430723842,0.3907768850629272,0.011887740563080618,0.04793988653725911,1.0,1.0,-0.13890039399746035,-0.39753634306788443,0.02591766262696127,0.5,-0.5,0.6000000000000001,0
-0.15733553262551625,0.4422883001992266,0.09482036348346146,0.3842616170104267,0.019560452788808913,0.04457057719007884,-0.13985731679781277,-0.11621675203436066,-0.08517975816252188,-0.3870065978765488,0.02787866311698628,0.0,0.0,0.6000000000000001,7
-0.15292598197857543,0.522352519397717,0.07827531525430209,0.3767069557538516,0.01997077940604841,0.049605322079512515,-0.38317966172003204,1.0,0.014219221820746197,-0.3737779459357262,0.018118553293286155,0.0,-0.5,0.6000000000000001,3
-0.14765265086293222,0.519087289996687,0.054246778936340334,0.3718680716176903,0.01611657314513626,0.017071543907250186,-0.3770610266256986,-1.0,0.13573363585092535,-0.3579579525887966,0.0077062629822661766,0.0,0.5,0.6000000000000001,3
-0.142076664943248,0.3793227374519472,0.036779972753886225,0.36602668588141896,0.009375051402221946,-0.028832267208131923,-0.21952400203702171,-1.0,0.24993775569862287,-0.34122999482974414,-0.006549216534858737,0.0,0.5,0.6000000000000001,0
-0.1370026953220368,0.37676266898802213,0.032975172755930426,0.36292188373218504,0.0009487642588155154,-0.012211330277538401,-0.09518166353823088,0.8609877359254976,0.24062520413163702,-0.3260080859661102,-0.041176366186276625,0.0,0.0,0.6000000000000001,6
-0.13220621764784057,0.5532319916932764,0.07008243808744585,0.3549127762128066,-0.003727221399224212,0.044913527949152154,0.8510245331833719,1.0,0.09701111958100439,-0.31161865294352176,-0.08550046139045109,0.5,-0.5,0.6000000000000001,2
-0.12679709907745318,0.5936882982678497,0.06728958115782402,0.34841235949402516,-0.004549519957663728,0.027232910664874987,-1.0,-1.0,0.07378678043072995,-0.2953912972323597,-0.10328703452131927,-0.5,0.5,0.6000000000000001,3
-0.12102184591442344,0.4516540858323359,0.022469758109239457,0.34280167796751715,-0.007285824371623728,-0.02190140405475849,-0.2752179388567051,-1.0,0.11733459486175368,-0.27806553774327036,-0.10560243468791108,0.0,0.5,0.6000000000000001,1
-0.11565908644596734,0.42782487489120724,-0.021024083438291208,0.33829482514441955,-0.008965559293204306,-0.014584365172891633,-1.0,0.6575218498852375,0.10757358691567576,-0.26197725933790206,-0.11973862900896015,-0.5,0.0,0.6000000000000001,3
