,curr_heading,track_error_deg,curr_alt_ft,altitude_error_ft,new_episode,action,altitude_out_of_bounds,altitude_reward,heading_reward,on_target,reward,heading_target,altitude_target,remaining fuel pounds
0,269.66695867853446,0.33304132146554366,3000.17102406919,0.17102406919002533,1,8,0,0.49958979994929936,0.493343355723866,1.0,0.9929331556731653,270,3000,199.9951461530258
1,269.6612254592585,0.3387745407414968,3003.322959136218,3.3229591362178326,0,3,0,0.4920299054243742,0.4932287633330205,,0.9852586687573948,270,3000,199.99054037016444
2,271.364566418518,-1.3645664185179953,3008.0155390053988,8.01553900539875,0,3,0,0.48077478496459664,0.47272580711828494,,0.9535005920828816,270,3000,199.98616988908876
3,272.09827083168585,-2.098270831685852,3011.0926364809275,11.092636480927467,0,3,0,0.47339438788685906,0.45806093231897765,,0.9314553202058367,270,3000,199.98200073511217
4,272.0389587158495,-2.0389587158495033,3012.1742330901325,12.174233090132475,0,3,0,0.47080018587754635,0.4592464298261638,,0.9300466157037102,270,3000,199.97799895765345
5,271.7131027145382,-1.713102714538195,3011.5380041860044,11.5380041860044,0,3,0,0.4723261765171481,0.4657594579285858,,0.9380856344457339,270,3000,199.97414054668928
6,269.54705436973603,0.4529456302639687,3009.387577280402,9.387577280402184,0,6,0,0.4774839606225307,0.49094677524149666,,0.9684307358640274,270,3000,199.97040409207278
7,267.5773565491665,2.4226434508335046,3009.2216630131006,9.221663013100624,0,3,0,0.47788190484863524,0.45157755323231596,,0.9294594580809512,270,3000,199.966769620433
8,267.13975734099864,2.860242659001358,3010.714093323797,10.714093323796988,0,3,0,0.4743023210390915,0.4428310642036484,,0.9171333852427399,270,3000,199.9632210775726
9,267.37443966255734,2.625560337442664,3010.7654958218336,10.76549582183361,0,3,0,0.47417903250198307,0.44752176362088325,,0.9217007961228663,270,3000,199.95974262117787
10,266.9151582532828,3.0848417467171885,3008.8656576499343,8.865657649934292,0,6,0,0.478735781257448,0.4383419028434622,,0.9170776841009102,270,3000,199.95632003455322
11,266.70942236455517,3.2905776354448335,3008.725953862071,8.725953862071037,0,3,0,0.4790708598293474,0.43422976858916684,,0.9133006284185142,270,3000,199.9529416232162
12,267.4312231285907,2.568776871409284,3010.3010243959725,10.30102439597249,0,3,0,0.4752930640142703,0.44865671988542966,,0.9239497838997,270,3000,199.94960047606097
13,268.45307177766966,1.5469282223303367,3010.557328119874,10.557328119874,0,3,0,0.47467832129976745,0.4690808610431521,,0.9437591823429196,270,3000,199.94628897028088
14,268.86108815490314,1.1389118450968567,3008.892561607063,8.892561607062817,0,6,0,0.4786712523017844,0.4772360649383576,,0.955907317240142,270,3000,199.94300018575578
15,268.87037095804965,1.129629041950352,3008.922010678798,8.92201067879796,0,2,0,0.4786006189062862,0.47742160443285564,,0.9560222233391418,270,3000,199.93972867156248
16,269.629651020697,0.37034897930300303,3010.6226752772927,10.622675277292728,0,3,0,0.4745215865932828,0.4925976710565495,,0.9671192576498323,270,3000,199.93647260489368
17,270.41801232933386,-0.41801232933386245,3011.0246283486485,11.024628348648548,0,3,0,0.4735575049231977,0.49164500258655863,,0.9652025075097563,270,3000,199.93322878636232
18,269.73801906065637,0.26198093934362987,3009.528439283371,9.528439283370972,0,6,0,0.4771461040796869,0.49476367102837593,,0.9719097751080628,270,3000,199.92999400738645
19,268.6361081428676,1.363891857132387,3009.6601558178663,9.660155817866325,0,3,0,0.47683018287991663,0.4727392898752193,,0.9495694727551359,270,3000,199.926765737915
20,267.7836878201742,2.2163121798258203,3011.431110177189,11.431110177189112,0,3,0,0.47258256106023205,0.45570158765572266,,0.9282841487159548,270,3000,199.9235443441034
21,267.46391936355786,2.5360806364421364,3011.9228141643107,11.922814164310694,0,3,0,0.47140321243753674,0.44931023400309966,,0.9207134464406364,270,3000,199.9203284393509
22,267.4674263826451,2.532573617354899,3010.497845053673,10.49784505367279,0,6,0,0.4748209910239011,0.44938033034559144,,0.9242013213694925,270,3000,199.91711628623972
23,267.42397852092176,2.5760214790782356,3010.5809192359447,10.580919235944748,0,2,0,0.4746217381705382,0.44851191870592405,,0.9231336568764623,270,3000,199.91390644639065
24,268.3016261411332,1.6983738588667734,3012.2952122054994,12.29521220549941,0,3,0,0.47051001830351863,0.46605385008499367,,0.9365638683885122,270,3000,199.9107002950683
25,269.68458170550724,0.3154182944927584,3012.7981960326433,12.798196032643318,0,3,0,0.4693036150623067,0.4936955949628599,,0.9629992100251666,270,3000,199.90749716074242
26,270.7622973866856,-0.7622973866855887,3011.3862533196807,11.38625331968069,0,3,0,0.47269014992366726,0.4847636247854681,,0.9574537747091354,270,3000,199.90429634356155
27,270.422281799532,-0.4222817995320156,3008.3466376625,8.346637662500143,0,6,0,0.4799806471185427,0.4915596667962982,,0.9715403139148409,270,3000,199.901096345854
28,269.72073049038323,0.27926950961676766,3006.984356213361,6.984356213361025,0,2,0,0.48324806978104884,0.4944181167234482,,0.9776661865044971,270,3000,199.8978965857945
29,270.16448930412304,-0.16448930412303753,3007.212833467871,7.212833467870951,0,3,0,0.4827000686615116,0.4967122794854477,,0.9794123481469593,270,3000,199.8946986558735
30,270.5914818422787,-0.5914818422787107,3006.190419588238,6.190419588238001,0,3,0,0.48515232130202474,0.488177790664186,,0.9733301119662108,270,3000,199.89150213742545
31,269.25197942228937,0.7480205777106335,3003.2721498683095,3.272149868309498,0,6,0,0.4921517711031103,0.48504898168450516,,0.9772007527876154,270,3000,199.8883060501775
