scores,seconds,stepsPerSecond
500.0,0.20763874053955078,2408.0284762888964
500.0,0.23509693145751953,2126.782331441645
500.0,0.2331712245941162,2144.3469316179803
500.0,0.21423983573913574,2333.8330067094225
500.0,0.23737573623657227,2106.3652415666124
500.0,0.22263383865356445,2245.8400889275363
500.0,0.2300877571105957,2173.0838975481265
500.0,0.222092866897583,2251.3104854942167
500.0,0.22909283638000488,2182.5213214900846
500.0,0.22630071640014648,2209.449479231416
500.0,0.22208690643310547,2251.370907139023
500.0,0.22738122940063477,2198.950200585925
500.0,0.22534942626953125,2218.7764498764263
500.0,0.23471403121948242,2130.2518532965214
500.0,0.26465702056884766,1889.2376213006237
500.0,0.26776576042175293,1867.3037180424383
500.0,0.26428771018981934,1891.8776043005748
500.0,0.2751007080078125,1817.5162238615565
500.0,0.27027010917663574,1850.0011026865857
500.0,0.277127742767334,1804.2221071305055
500.0,0.24863457679748535,2010.98337343182
500.0,0.268540620803833,1861.9157075876667
500.0,0.2692887783050537,1856.7427991135737
500.0,0.28299546241760254,1766.8127811257075
500.0,0.2771570682525635,1804.0312056713185
500.0,0.27711939811706543,1804.2764360681153
500.0,0.2486436367034912,2010.9100986012866
500.0,0.24608516693115234,2031.8168958955816
500.0,0.2546119689941406,1963.7725672335007
500.0,0.25682640075683594,1946.8403502387655
500.0,0.2546112537384033,1963.778083877305
500.0,0.25811338424682617,1937.1331767974684
500.0,0.23009920120239258,2172.9758182002806
500.0,0.2503011226654053,1997.5939167815256
500.0,0.2640848159790039,1893.3311184379208
500.0,0.26659131050109863,1875.5299978089101
500.0,0.24486470222473145,2041.9439611231144
500.0,0.30417823791503906,1643.7730832659256
500.0,0.26019835472106934,1921.6109207761756
500.0,0.2506577968597412,1994.75143508016
500.0,0.25543975830078125,1957.4086795495953
500.0,0.24575328826904297,2034.5607723979494
500.0,0.2595634460449219,1926.3113031465398
500.0,0.24455523490905762,2044.5278964726895
500.0,0.2698354721069336,1852.9809891038124
500.0,0.27115941047668457,1843.9337920119578
500.0,0.2958512306213379,1690.0386013264672
500.0,0.26293373107910156,1901.6198414252863
500.0,0.24286556243896484,2058.7521548085115
500.0,0.266096830368042,1879.0152415887235
500.0,0.2481861114501953,2014.6171640242544
500.0,0.20908665657043457,2391.3529835012023
500.0,0.22538399696350098,2218.4361211810915
500.0,0.23014044761657715,2172.586371401429
500.0,0.2529871463775635,1976.3849948874051
500.0,0.21641063690185547,2310.4224781093144
500.0,0.19458436965942383,2569.5794624981313
500.0,0.2269597053527832,2203.034231220941
500.0,0.21955394744873047,2277.3446153445198
500.0,0.21264219284057617,2351.367775702276
500.0,0.21785402297973633,2295.114834976022
500.0,0.20816755294799805,2401.911310956824
500.0,0.22068071365356445,2265.71679836474
500.0,0.20831561088562012,2400.2041799667863
500.0,0.21209192276000977,2357.4683726441076
500.0,0.23114013671875,2163.189860047531
500.0,0.2450706958770752,2040.227609468227
500.0,0.24854636192321777,2011.6971181194058
500.0,0.20827531814575195,2400.6685211259546
500.0,0.2505929470062256,1995.2676480857951
500.0,0.27350711822509766,1828.1059858504218
500.0,0.26952695846557617,1855.1020011004196
500.0,0.25925612449645996,1928.5947476501267
500.0,0.2620053291320801,1908.3581301811762
500.0,0.2743651866912842,1822.3886420495476
500.0,0.25264573097229004,1979.0558030637753
500.0,0.27164506912231445,1840.6371284982297
500.0,0.2775912284851074,1801.2096517913737
500.0,0.2669563293457031,1872.9655192123575
500.0,0.2794644832611084,1789.136115492864
500.0,0.2595860958099365,1926.143225968811
500.0,0.24072980880737305,2077.017393388492
500.0,0.2826225757598877,1769.1438790961738
500.0,0.26616978645324707,1878.5002109464644
500.0,0.2921459674835205,1711.4732210986422
500.0,0.2760782241821289,1811.0809046285005
500.0,0.25466370582580566,1963.3736121864517
500.0,0.21878933906555176,2285.3033065299146
500.0,0.25131726264953613,1989.5171335574105
500.0,0.2164168357849121,2310.3563000843874
500.0,0.24409174919128418,2048.4100820965136
500.0,0.25138139724731445,1989.0095507269743
500.0,0.24334263801574707,2054.715951454608
500.0,0.28507351875305176,1753.9335192797435
500.0,0.25926637649536133,1928.5184865031881
500.0,0.276508092880249,1808.2653378848536
500.0,0.2888340950012207,1731.097570035445
500.0,0.3004746437072754,1664.0339225665366
500.0,0.2681455612182617,1864.6588730701246
500.0,0.27729010581970215,1803.1656720024007
