scores,steps,milliseconds,stepsPerSecond
352.0,352,279.13594245910645,1261.0343078679957
500.0,500,406.56280517578125,1229.8222897783783
500.0,500,399.843692779541,1250.4886510131385
500.0,500,327.3029327392578,1527.6367853334189
500.0,500,396.4974880218506,1261.0420370997294
500.0,500,412.9517078399658,1210.79533153007
500.0,500,368.15404891967773,1358.127124955477
500.0,500,374.2256164550781,1336.09239457294
500.0,500,366.3754463195801,1364.7202753971198
500.0,500,341.0196304321289,1466.19125522603
500.0,500,411.6959571838379,1214.4884866497025
447.0,447,345.1049327850342,1295.2582172403668
500.0,500,387.0823383331299,1291.714838122351
500.0,500,455.6615352630615,1097.305700186743
351.0,351,315.2632713317871,1113.3551920502757
500.0,500,399.17802810668945,1252.5739514559743
500.0,500,327.37159729003906,1527.3163711787086
430.0,430,371.7200756072998,1156.7844413500804
500.0,500,358.184814453125,1395.9274090483088
500.0,500,366.34016036987305,1364.8517254979038
442.0,442,409.85822677612305,1078.4216861442524
500.0,500,386.32678985595703,1294.2410755061182
448.0,448,362.67995834350586,1235.248845969274
500.0,500,375.8213520050049,1330.4193530583154
500.0,500,435.12988090515137,1149.0821980782075
500.0,500,409.76643562316895,1220.2073096582562
320.0,320,255.68675994873047,1251.5313662082676
500.0,500,390.11168479919434,1281.6842444936492
500.0,500,403.2609462738037,1239.8919474352297
500.0,500,377.77209281921387,1323.5493290905408
500.0,500,383.09407234191895,1305.1624551207888
500.0,500,360.1343631744385,1388.370705846292
500.0,500,392.23623275756836,1274.7420004643932
462.0,462,366.7473793029785,1259.7227030716724
500.0,500,325.40059089660645,1536.5675846571255
463.0,463,414.33024406433105,1117.4660953017762
459.0,459,334.08451080322266,1373.9038631166984
500.0,500,360.1400852203369,1388.3486468719402
500.0,500,387.65406608581543,1289.8097653109987
481.0,481,375.1087188720703,1282.2949075839626
500.0,500,412.7166271209717,1211.4849927125533
500.0,500,362.7281188964844,1378.442899660311
500.0,500,381.61540031433105,1310.2196598673881
500.0,500,381.6409111022949,1310.1320782298944
500.0,500,378.6053657531738,1320.636328028081
500.0,500,437.69216537475586,1142.3553802291517
500.0,500,362.09774017333984,1380.8426414388694
500.0,500,376.8613338470459,1326.747944385644
500.0,500,370.1355457305908,1350.8564788423027
500.0,500,363.18469047546387,1376.7100131490238
500.0,500,367.62094497680664,1360.096607203774
500.0,500,357.163667678833,1399.9184274521663
500.0,500,344.1812992095947,1452.722739870643
500.0,500,386.12914085388184,1294.903562301217
500.0,500,405.61938285827637,1232.6827097774571
500.0,500,396.1303234100342,1262.210869634563
500.0,500,380.1906108856201,1315.129794592493
500.0,500,426.64456367492676,1171.9357108250065
500.0,500,394.84262466430664,1266.3273131291173
500.0,500,360.7158660888672,1386.1325408869548
500.0,500,390.60330390930176,1280.0710976989078
500.0,500,411.1628532409668,1216.063163437017
500.0,500,386.9152069091797,1292.2728056986518
500.0,500,363.6147975921631,1375.0815514411738
500.0,500,376.6930103302002,1327.3407955239516
478.0,478,363.2781505584717,1315.7961723411252
500.0,500,370.6028461456299,1349.153157349264
500.0,500,389.13512229919434,1284.900723033592
500.0,500,398.24700355529785,1255.50222735216
500.0,500,399.6603488922119,1251.0623117502448
500.0,500,381.1171054840088,1311.9327178060219
500.0,500,408.65135192871094,1223.5368796411685
500.0,500,366.79530143737793,1363.1581376332429
500.0,500,364.6085262298584,1371.3338115543338
500.0,500,406.6967964172363,1229.4171097601725
500.0,500,412.3053550720215,1212.693441521418
500.0,500,367.62452125549316,1360.0833760828157
500.0,500,406.13484382629395,1231.1182051984997
500.0,500,400.1295566558838,1249.5952665401471
428.0,428,311.1691474914551,1375.4577002585168
500.0,500,370.70155143737793,1348.7939234709793
500.0,500,381.13903999328613,1311.8572162243145
500.0,500,378.4043788909912,1321.337774857086
500.0,500,364.6717071533203,1371.096222142024
500.0,500,377.61688232421875,1324.0933427618952
500.0,500,353.61385345458984,1413.9717522809347
500.0,500,423.7697124481201,1179.8861157667382
500.0,500,369.0776824951172,1354.7283504648506
500.0,500,388.2589340209961,1287.8003728639537
500.0,500,354.6781539916992,1409.7287762800916
478.0,478,427.1535873413086,1119.035434011382
500.0,500,365.1318550109863,1369.3683340363598
500.0,500,352.5993824005127,1418.0399199680305
500.0,500,392.12918281555176,1275.0900007235323
500.0,500,406.1460494995117,1231.084238332844
466.0,466,351.6082763671875,1325.3385409885866
500.0,500,370.6669807434082,1348.919720330098
500.0,500,368.66211891174316,1356.2554283471115
500.0,500,367.0921325683594,1362.0558863567874
500.0,500,380.13529777526855,1315.3211578252174
