curr_heading,track_error_deg,curr_alt_ft,altitude_error_ft,new_episode,action,altitude_out_of_bounds,altitude_reward,heading_reward,on_target,reward,heading_target,altitude_target,remaining fuel pounds,TimeLimit.truncated,episode,terminal_observation
269.86431136707955,0.13568863292044853,3000.170881435275,-414.8291185647249,1,7,0,0.06519059090052105,0.4972879312462139,0.0,0.562478522146735,270,3415,199.99514615277144,False,,
269.3454208881126,0.6545791118874149,3003.34899391979,-411.6510060802102,0,0,0,0.06646638603010747,0.4869166376134709,0.0,0.5533830236435784,270,3415,199.99054037831232,False,,
268.95289044853314,1.0471095514668605,3009.7338139489293,-405.2661860510707,0,5,0,0.06931304273004761,0.4790709580072986,0.0,0.5483840007373462,270,3415,199.9861700864298,False,,
268.83370518178674,1.1662948182132595,3017.4636569321156,-397.53634306788445,0,6,0,0.07275937468884174,0.47668874933662764,0.0,0.5494481240254694,270,3415,199.98200051550776,False,,
268.7454601597356,1.2545398402643855,3027.9934021234512,-387.00659787654877,0,0,0,0.07745403633330125,0.4749249570289673,0.0,0.5523789933622686,270,3415,199.97799971641768,False,,
269.1846651018021,0.8153348981978752,3041.222054064274,-373.77794593572617,0,7,0,0.08343346935130835,0.4837035405716685,0.0,0.5671370099229769,270,3415,199.97414674721662,False,,
269.653218165798,0.34678183420197684,3057.0420474112034,-357.9579525887966,0,3,0,0.09154144167367169,0.49306871801508073,0.0,0.5846101596887524,270,3415,199.97042214740588,False,,
270.29471474406864,-0.2947147440686422,3073.770005170256,-341.2299948297441,0,3,0,0.10011475871279574,0.49410940598732944,0.0,0.5942241647001252,270,3415,199.96680703411533,False,,
271.85293647838245,-1.8529364783824462,3088.9919140338898,-326.00808596611023,0,0,0,0.10876745709493119,0.4629645386086407,0.0,0.5717319957035718,270,3415,199.96328320687908,False,,
273.8475207625703,-3.847520762570298,3103.3813470564783,-311.61865294352174,0,6,0,0.11720813076631309,0.42309789983787294,0.0,0.540306030604186,270,3415,199.95983387675403,False,,
274.64791655345937,-4.647916553459368,3119.6087027676404,-295.39129723235965,0,2,0,0.12711096702585603,0.4079217935888002,0.0,0.5350327606146562,270,3415,199.95644723339836,False,,
274.752109560956,-4.752109560956001,3136.9344622567296,-278.0655377432704,0,3,0,0.1387178688640693,0.40641809188007194,0.0,0.5451359607441413,270,3415,199.95311373851715,False,,
275.3882383054032,-5.388238305403206,3153.022740662098,-261.97725933790207,0,1,0,0.1495455401253832,0.39723755373285236,0.0,0.5467830938582355,270,3415,199.9498237700605,False,,
275.96114186093865,-5.961141860938653,3168.0897226519883,-246.91027734801173,0,3,0,0.16107418862089445,0.38896947436655765,0.0,0.5500436629874521,270,3415,199.9465689992273,False,,
276.7092645056067,-6.709264505606711,3182.5056710392237,-232.49432896077633,0,3,0,0.17210469239380546,0.37817265290843866,0.0,0.5502773453022441,270,3415,199.94334346302585,False,,
277.11518273961127,-7.115182739611271,3195.6798270978034,-219.32017290219665,0,3,0,0.18281611853211577,0.3723144868304866,0.0,0.5551306053626024,270,3415,199.94014250240326,False,,
276.965958717974,-6.96595871797399,3207.28237131238,-207.71762868762016,0,4,0,0.19298309019073479,0.37446807104607327,0.0,0.567451161236808,270,3415,199.9369620698608,False,,
276.0656057486457,-6.06560574864568,3217.2817551754415,-197.7182448245585,0,0,0,0.20174525911327842,0.38746186334524685,0.0,0.5892071224585252,270,3415,199.9337984024134,False,,
274.7727336770837,-4.772733677083693,3226.5275538116693,-188.47244618833065,0,3,0,0.2098470832440351,0.4061204469669695,0.0,0.6159675302110046,270,3415,199.9306477734059,False,,
273.50549603391056,-3.5054960339105605,3235.281496286392,-179.7185037136078,0,3,0,0.2185554409802525,0.42993409944911165,0.0,0.6484895404293641,270,3415,199.9275080360166,False,,
272.6761832499953,-2.6761832499952902,3242.8210201375186,-172.17897986248136,0,3,0,0.2261673760460291,0.4465099410650461,0.0,0.6726773171110751,270,3415,199.92437756638822,False,,
272.34587902564107,-2.345879025641068,3248.7303773649037,-166.2696226350963,0,3,0,0.23213348801589995,0.453111877769942,0.0,0.6852453657858419,270,3415,199.92125486547394,False,,
272.2848475141958,-2.2848475141958033,3252.921005871147,-162.07899412885308,0,6,0,0.23636436422296303,0.4543317415980644,0.0,0.6906961058210275,270,3415,199.91813816851047,False,,
272.26430159990815,-2.2643015999081513,3257.206486813724,-157.79351318627596,0,2,0,0.2406910038496347,0.45474240187931425,0.0,0.695433405728949,270,3415,199.91502567383333,False,,
272.40779414845116,-2.40779414845116,3262.2230372168124,-152.77696278318763,0,6,0,0.24575573428573494,0.45187435281043753,0.0,0.6976300870961725,270,3415,199.9119173193873,False,,
272.5565347917047,-2.556534791704678,3268.1555597670376,-146.84444023296237,0,3,0,0.252271160691047,0.4489014077500918,0.0,0.7011725684411387,270,3415,199.9088125432973,False,,
273.23117584663623,-3.2311758466362335,3274.658996101469,-140.3410038985312,0,3,0,0.25992096348769256,0.43541705842973344,0.0,0.695338021917426,270,3415,199.90571139659423,False,,
274.12435441415306,-4.124354414153061,3280.1713523194194,-134.82864768058062,0,3,0,0.2664049876010574,0.4175647031338107,0.0,0.6839696907348681,270,3415,199.9026134046379,False,,
274.5740139802233,-4.574013980223299,3283.9138195589185,-131.08618044108152,0,6,0,0.27080714284374097,0.40898834717357957,0.0,0.6797954900173205,270,3415,199.8995180350439,False,,
274.4889237831153,-4.488923783115297,3287.366299044341,-127.63370095565915,0,8,0,0.2748681939350108,0.41027789381994806,0.0,0.6851460877549589,270,3415,199.89642410936105,False,,
